Allemagne;89,3  ;90,5  ;92,9  ;98,9  ;101,1  ;100,0  ;100,0  ;101,7  ;103,6  ;105,4  ;101,0  ;101,3  ;98,8  ;101,3  ;102,9  ;102,9  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gräce;90,9  ;91,6  ;94,0  ;99,0  ;100,9  ;100,0  ;100,0  ;101,5  ;103,7  ;105,5  ;102,0  ;102,5  ;100,1  ;102,0  ;103,4  ;103,4  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hongrie;88,0  ;89,9  ;96,9  ;97,2  ;99,5  ;100,0  ;93,7  ;99,5  ;100,6  ;91,9  ;90,3  ;89,6  ;84,5  ;84,4  ;86,5  ;86,5  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Islande;96,5  ;81,9  ;84,5  ;88,9  ;90,1  ;100,0  ;89,5  ;90,6  ;66,0  ;48,3  ;49,1  ;49,3  ;48,3  ;49,1  ;49,1  ;49,1  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irlande;86,7  ;87,9  ;90,4  ;97,9  ;100,4  ;100,0  ;100,1  ;102,6  ;107,3  ;109,2  ;104,5  ;105,3  ;101,3  ;104,4  ;106,2  ;106,2  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Israâl;122,8  ;124,5  ;109,7  ;105,2  ;101,2  ;100,0  ;100,1  ;103,4  ;115,2  ;110,1  ;115,2  ;116,7  ;112,5  ;120,4  ;122,2  ;122,2  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Italie;89,4  ;90,8  ;93,5  ;98,9  ;100,9  ;100,0  ;100,1  ;101,6  ;103,4  ;105,4  ;101,5  ;101,9  ;99,6  ;102,1  ;103,6  ;103,6  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japon;108,1  ;100,2  ;96,3  ;99,2  ;103,2  ;100,0  ;92,7  ;87,7  ;98,3  ;112,6  ;116,2  ;122,9  ;124,5  ;102,8  ;102,2  ;102,2  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CorÇe;94,5  ;87,1  ;90,3  ;89,8  ;90,0  ;100,0  ;106,9  ;105,8  ;86,1  ;74,7  ;80,1  ;79,9  ;79,8  ;83,9  ;86,2  ;86,2  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luxembourg;94,8  ;95,2  ;96,3  ;99,5  ;100,5  ;100,0  ;100,1  ;101,2  ;102,6  ;103,6  ;101,0  ;101,2  ;99,5  ;100,9  ;101,8  ;101,8  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexique;119,4  ;123,2  ;119,7  ;103,9  ;97,4  ;100,0  ;99,2  ;96,8  ;94,0  ;78,5  ;82,7  ;82,6  ;78,9  ;81,9  ;80,8  ;80,8  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pays-Bas;90,1  ;91,4  ;93,5  ;98,8  ;100,7  ;100,0  ;100,0  ;101,5  ;103,7  ;105,3  ;101,4  ;101,8  ;99,5  ;101,8  ;103,3  ;103,3  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nouvelle-ZÇlande;72,4  ;71,2  ;77,5  ;89,0  ;95,5  ;100,0  ;92,1  ;98,6  ;92,4  ;85,5  ;92,7  ;96,0  ;99,8  ;103,3  ;104,1  ;104,1  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
